std_A, std_K, mean_A, mean_k, p50, p90, p99, percentile for 0.05 coe, percentile for 0.08 coe, percentile for 0.10 coe, percentile for 0.15 coe, standard deviation
0.5, 0.025, 5, 2.5, 0.42013299342, 0.649123306936, 0.837836114066, 0.01, 0.01, 0.01, 0.01, 0.148100755859
0.5, 0.025, 5, 2.75, 0.44992811658, 0.698353618264, 0.910310502506, 0.01, 0.01, 0.01, 0.01, 0.161983150479
0.5, 0.025, 5, 3.0, 0.47377558636, 0.738458103834, 0.970594322786, 0.01, 0.01, 0.01, 0.01, 0.173512448533
0.5, 0.025, 6, 1.5, 0.16027805937, 0.202400834656, 0.228854321318, 0.01, 0.01, 0.01, 35.87, 0.0274161366783
0.5, 0.025, 6, 1.75, 0.17825391579, 0.233605230828, 0.270213327166, 0.01, 0.01, 0.01, 18.27, 0.0359650483418
0.5, 0.025, 6, 2.0, 0.19652641695, 0.264847512252, 0.311614242726, 0.01, 0.01, 0.01, 13.3, 0.0444269692071
0.5, 0.025, 6, 2.25, 0.2139368681, 0.293749832622, 0.349544090921, 0.01, 0.01, 0.01, 5.49, 0.0520822275484
0.5, 0.025, 6, 2.5, 0.22959298798, 0.318099208936, 0.381927578084, 0.01, 0.01, 0.01, 2.08, 0.0584625773882
0.5, 0.025, 6, 2.75, 0.24296665857, 0.338083630994, 0.408379788402, 0.01, 0.01, 0.01, 1.23, 0.0635004914709
0.5, 0.025, 6, 3.0, 0.25394533225, 0.354056987924, 0.429531862396, 0.01, 0.01, 0.01, 0.59, 0.067384803266
0.5, 0.025, 7, 1.5, 0.11933414079, 0.140130159858, 0.152716280295, 0.01, 0.01, 5.05, 98.31, 0.014032146863
0.5, 0.025, 7, 1.75, 0.12573029626, 0.151956128522, 0.16840334383, 0.01, 0.01, 2.74, 88.27, 0.017619574464
0.5, 0.025, 7, 2.0, 0.13253327286, 0.164023557828, 0.184390468315, 0.01, 0.01, 1.46, 82.03, 0.0210959647141
0.5, 0.025, 7, 2.25, 0.13918614854, 0.17556420998, 0.199691006075, 0.01, 0.01, 0.83, 71.47, 0.0243829171663
0.5, 0.025, 7, 2.5, 0.14545308405, 0.185988982748, 0.213558862529, 0.01, 0.01, 0.33, 56.3, 0.0273368406584
0.5, 0.025, 7, 2.75, 0.15116026383, 0.195109264262, 0.225518655854, 0.01, 0.01, 0.01, 46.84, 0.0298480082549
0.5, 0.025, 7, 3.0, 0.15618715493, 0.202783636624, 0.235424164224, 0.01, 0.01, 0.01, 43.91, 0.0318805249169
0.5, 0.025, 8, 1.5, 0.096894288368, 0.108311514488, 0.115342965087, 0.01, 0.01, 68.0, None, 0.00802294015888
0.5, 0.025, 8, 1.75, 0.097985522954, 0.11204509268, 0.120744145343, 0.01, 0.18, 57.48, None, 0.00977543220667
